id,rank,name,position,school,pts,reb,ast,imputed,potential,risk,notes,avatar_url,source_url
zvonimir-ivisic,75,Zvonimir Ivisic,C,Illinois,6.40,4.50,0.30,0,1.10,NBA Ready,Illinois · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174665.png,https://www.espn.com/mens-college-basketball/player/_/id/5174665/zvonimir-ivisic
nick-martinelli,76,Nick Martinelli,SF/PF,Northwestern,23.00,6.20,2.00,0,1.10,NBA Ready,Northwestern · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105832.png,https://www.espn.com/mens-college-basketball/player/_/id/5105832/nick-martinelli
cade-tyson,77,Cade Tyson,SG/SF,Minnesota,19.60,5.40,2.10,0,1.10,NBA Ready,Minnesota · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107970.png,https://www.espn.com/mens-college-basketball/player/_/id/5107970/cade-tyson
oscar-cluff,78,Oscar Cluff,C,Purdue,10.60,7.50,1.80,0,1.10,NBA Ready,Purdue · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5174973.png,https://www.espn.com/mens-college-basketball/player/_/id/5174973/oscar-cluff
felix-okpara,79,Felix Okpara,C,Tennessee,8.00,6.30,0.50,0,1.09,NBA Ready,Tennessee · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105841.png,https://www.espn.com/mens-college-basketball/player/_/id/5105841/felix-okpara
tucker-devries,80,Tucker DeVries,SG/SF,Indiana,13.70,5.30,3.30,0,1.09,NBA Ready,Indiana · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4837238.png,https://www.espn.com/mens-college-basketball/player/_/id/4837238/tucker-devries
trey-kaufman-renn,81,Trey Kaufman-Renn,PF/C,Purdue,14.20,8.30,2.50,0,1.09,NBA Ready,Purdue · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4897438.png,https://www.espn.com/mens-college-basketball/player/_/id/4897438/trey-kaufman-renn
darrion-williams,82,Darrion Williams,SF,NC State,14.00,4.60,2.80,0,1.09,NBA Ready,NC State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4937074.png,https://www.espn.com/mens-college-basketball/player/_/id/4937074/darrion-williams
rafael-castro,83,Rafael Castro,C,George Washington,15.30,9.10,1.70,0,1.08,NBA Ready,George Washington · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4684443.png,https://www.espn.com/mens-college-basketball/player/_/id/4684443/rafael-castro
dillon-mitchell,84,Dillon Mitchell,PF,St. John's,8.30,7.00,3.00,0,1.08,NBA Ready,St. John's · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106283.png,https://www.espn.com/mens-college-basketball/player/_/id/5106283/dillon-mitchell
jaron-pierre-jr,85,Jaron Pierre Jr,G,SMU Mustangs,17.60,4.90,2.10,0,1.08,NBA Ready,· 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4703115.png,https://www.espn.com/mens-college-basketball/player/_/id/4703115/jaron-pierre-jr
otega-oweh,86,Otega Oweh,SG/SF,Kentucky,18.60,4.80,2.70,0,1.08,NBA Ready,Kentucky · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5106270.png,https://www.espn.com/mens-college-basketball/player/_/id/5106270/otega-oweh
donovan-dent,87,Donovan Dent,PG,UCLA,13.30,2.90,7.60,0,1.07,NBA Ready,UCLA · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5107782.png,https://www.espn.com/mens-college-basketball/player/_/id/5107782/donovan-dent
nate-bittle,88,Nate Bittle,C,Oregon,16.80,6.90,2.60,0,1.07,NBA Ready,Oregon · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4432586.png,https://www.espn.com/mens-college-basketball/player/_/id/4432586/nate-bittle
fletcher-loyer,89,Fletcher Loyer,SG,Purdue,14.10,2.30,2.10,0,1.07,NBA Ready,Purdue · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5105853.png,https://www.espn.com/mens-college-basketball/player/_/id/5105853/fletcher-loyer
quadir-copeland,90,Quadir Copeland,PG,NC State,13.90,3.60,6.50,0,1.07,NBA Ready,NC State · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4683860.png,https://www.espn.com/mens-college-basketball/player/_/id/4683860/quadir-copeland
seth-trimble,91,Seth Trimble,PG/SG,North Carolina,14.00,3.80,3.00,0,1.06,NBA Ready,North Carolina · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4712836.png,https://www.espn.com/mens-college-basketball/player/_/id/4712836/seth-trimble
mark-mitchell,92,Mark Mitchell,PF,Missouri,18.30,5.20,3.60,0,1.06,NBA Ready,Missouri · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/4433285.png,https://www.espn.com/mens-college-basketball/player/_/id/4433285/mark-mitchell
kashie-natt,93,Kashie Natt,SG,Sam Houston,10.80,8.20,2.40,0,1.06,NBA Ready,Sam Houston · 由 ESPN Big Board + 球员页解析,https://a.espncdn.com/combiner/i?img=/i/headshots/mens-college-basketball/players/full/5117648.png,https://www.espn.com/mens-college-basketball/player/_/id/5117648/kashie-natt
